페이지	키워드	제목	NEWS_URL | MEDIA_URL
2	유로 2016	[유로 2016] 기록으로 돌아본 '혼돈'의 조별 리그	디자이너 김종래 [스포티비뉴스=박성윤 기자] 지난 10일(이하 한국 시간)부터 23일까지 열린  조별 리그가 끝났다. 24팀 가운데 상위 라운드에 진출한 16팀이 가려졌다. 첫 유로 본선 무대에 출전한 팀인...
2	유로 2016	[그래픽] 유로 2016 16강 대진	【서울=뉴시스】  16강 대진 [사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n...
2	유로 2016	<유로2016> 극성 팬 때문에…참가국 중 ⅓ 징계	[AP=연합뉴스 자료사진} 2016 유럽축구선수권대회()에 참가한 24개국 중 8개국이 극성 팬 때문에 징계를 받게 됐다. 유럽축구연맹(UEFA)은 21일(현지시간) 헝가리에 6만5천 유로(8천463만원)의 벌금을 부과했다고...
2	유로 2016	[김현민의 푸스발 리베로] 유로 조별 리그 결산: 골 가뭄 원인은? 外	훌리건들의 횡포 [골닷컴 김현민 기자 = 포르투갈과 헝가리의 경기를 마지막으로  본선 조별 리그가 모두 막을 내렸다. 세계인의 축구네트워크 '골닷컴'은  조별 리그를 결산해 보았다. # 골 가뭄 조별...
2	유로 2016	[유로2016] '골'보다 '스토리'…변방의 기세, 16강 판도 흔들까	에서 본선 사상 첫 16강행을 이끈 웨일스의 애런 램지, 개러스 베일(왼쪽부터). 캡처 |  페이스북 [스포츠서울 김용일기자] 토너먼트 경험이 많은 강호의 잔치냐, 조별리그서 태풍의 눈으로 떠오른...
2	유로 2016	[유로2016]포르투갈, 호날두 원맨쇼에 극적 16강행	포르투갈은 23일(한국시간) 프랑스 리옹의 스타드 데 뤼미에르에서 열린 2016 유럽축구선수권대회() 조별리그 F조 3차전에서 헝가리와 3-3으로 비겼다. 앞선 두 경기를 무승부로 마치며 불안감을 노출했던...
2	유로 2016	[유로2016]슈퍼맨이 돌아왔다	호날두는 23일(한국시각) 프랑스 리옹 스타드 데 뤼미에르에서 펼쳐진 헝가리와의  조별리그 F조 최종전에서 멀티골을 성공시켰다. 호날두의 활약을 앞세운 포르투갈은 헝가리와 3대3으로 비겼고, 조 3위로 16강...
2	유로 2016	‘16강 탈락도 서러운데..’ 유로 2016 최악 팀은?	게티이미지 알바니아·터키, 3위 차지하고도 와일드카드 탈락 조 최하위 러시아, 훌리건 난동으로 더 유명세 2016 유럽축구선수권(이하 ) 16강 토너먼트 대진표가 완성됐다. 조 최하위에 그친 6팀과 3위를...
3	유로 2016	[영상] 유로 2016 골모음	골모음 (6월23일) 포르투갈 3 vs 3 헝가리 아이슬란드 2 vs 1 오스트리아 아일랜드 1 vs 0 이탈리아 벨기에 1 vs 0 스웨덴 [저작권자(c) YTN(Yes! Top News) 무단전재 및 재배포 금지]
3	유로 2016	<유로2016> 이탈리아 만나는 이니에스타 "우리는 스페인이다"	이니에스타는 오는 27일(이하 현지시간) 이탈리아와 2016 유럽축구선수권대회() 16강 대결을 앞두고 23일 가진 이탈리아 일간지 가제타 델로 스포르트와 인터뷰에서 이같이 말했다. 그는 "이탈리아는 매우...
3	유로 2016	극장골이 지루한 '유로 2016'을 살렸다	수비 축구의 득세, 조별리그에서 경기당 1.19골에 그쳐 [오마이뉴스이준목 기자]  조별리그 일정이 모두 막을 내렸다. 이번 유로컵의 두드러진 특징은 수비축구의 득세와 저득점 현상으로 요약된다. 이번...
3	유로 2016	'24번째 슛으로 첫 골' 호날두, 유로 기록을 쓰다	(사진= 홈페이지)크리스티아누 호날두(포르투갈)가 유로 역사를 새로 썼다. 사실 호날두는  최악의 스타였다. 조별리그 2경기에서 20개의 슈팅을 때리고도 한 골도 넣지 못했다. 포르투갈도 2무에...
3	유로 2016	[유로 2016] ‘유로 16강 대진’ 한눈에 보는 나라별 상대 전적과 전망은?	디자이너 김종래 [스포티비뉴스=정형근 기자] 치열했던  조별 리그가 마무리되고 16강 진출 국가가 확정됐다. 16강전은 25일(한국 시간) 스위스와 폴란드의 맞대결로 시작된다. 16강전에서 맞붙는 팀들의...
3	유로 2016	<유로2016> 호날두 몸 풀렸나…2골 1도움 모처럼 이름값	호날두는 22일 열린 2016 유럽축구선수권대회() 조별리그 F조 마지막 경기에서 2골 1도움의 맹활약으로 포르투갈을 조별리그 탈락 위기에서 구해냈다. 호날두는 앞서 아이슬란드, 오스트리아와 가진 1...
3	유로 2016	[유로 2016] 조별리그 36경기가 남긴 기록…경기당 '1.92골'·득점왕은 모라타 VS 베일?	이투데이=정수천 기자 | ‘’ 조별리그에서 살아남은 16개의 팀이 유럽 최강자의 자리를 차지하기 위한 토너먼트를 시작한다. 치열했던 조별리그가 펼쳐지는 동안 남겨진 기록을 살펴봤다. 25일(이하...
3	유로 2016	‘베일-파예 포함', 유로 2016 조별리그 XI <英 스카이스포츠>	[= 프랑스에서 한창인 2016 유럽축구선수권대회(이하 ) 16강 진출 주인공들이 정해졌다. 에 참가한 24개 팀들 중 16개 팀만이 다음 라운드에 진출했다. 이에 영국 매체 ‘스카이스포츠’가...
3	유로 2016	유로 2016 새내기의 반란, 희생양은 누구?	16강 대진표 확정, 본격적인 '벼랑 끝' 대결 시작 [오마이뉴스윤현 기자]  16강 대진표를 보여주는  공식 트위터 갈무리.  유럽축구연맹 유럽 최강자를 가리는 (유럽축구선수권대회)의 16강 토너먼트...
3	유로 2016	‘유로 2016’ 후원 中 하이신, 美女모델 8명 내세워 홍보전	[동아닷컴] 사진=하이신 풋볼 베이비 웨이보 사진=하이신 풋볼 베이비 웨이보 지금 프랑스에서는 유럽 축구의 최강국을 가리는 2016 유럽축구선수권대회() 열기가 뜨겁다. 이 가운에 중국 기업 최초로...
4	유로 2016	<유로2016> 잉글랜드 주장 루니 "우리는 우승할 수 있다"	루니(오른쪽) 경기 장면.[EPA=연합뉴스 자료사진] 잉글랜드 축구 대표팀 주장 웨인 루니(30)가 2016 유럽축구선수권대회() 우승에 여전히 자신감을 보였다. 루니는 오는 27일(현지시간) 예정된 아이슬란드와...
4	유로 2016	-유로2016- 벨기에 황금세대, 스웨덴과 즐라탄을 침몰시켰다… 1-0승리	'황금세대'를 앞세운 벨기에는 '즐라탄'을 내세운 스웨덴을 꺾고 2016 유럽축구선수권대회() 16강에 진출했다. 벨기에는 23일(한국시간) 프랑스 니스 알리안츠 리비에라에서 열린 E조 스웨덴과 경기에서 후반전...
4	유로 2016	유로2016 16강 대진 확정, 도박사들의 예상은?	AFPBBNews = News1 [스포츠한국 김명석 기자] 2016 유럽축구연맹(UEFA) 유럽축구선수권대회(이하 ) 16강 대진이 확정됐다. 16강 대진은 24팀이 6개 조로 나뉘어 조별리그를 치른 뒤, 각 조 상위 1·2위팀과 3위...
4	유로 2016	[유로2016]알바니아, 우승팀 부럽지 않은 귀국 퍼레이드	24일(한국시간) AP통신에 따르면 알바니아에서는 에 참가한 뒤 귀국하는 선수단을 위해 레드 카펫을 준비하는 등 성대한 귀국 환영 행사를 진행했다. 우승팀이 부럽지 않았다. 총리가 공항에 직접 마중을 나왔을...
4	유로 2016	<유로2016> 16강 감격에 젖은 아이슬란드 "국가 공휴일로 지정하자"	" 아이슬란드 축구대표팀 헤이미르 하들그림손 감독은 23일(한국시간) 2016 유럽축구선수권대회() 조별리그 F조 오스트리아와 경기에서 2-1로 승리한 뒤 이렇게 말했다. 하들그림손 감독의 말처럼 이날 경기는...
4	유로 2016	[유로2016]벨기에, 조 2위로 16강행…스웨덴은 탈락	벨기에는 23일(한국시간) 프랑스 니스의 알리안츠 리비에라에서 열린 2016 유럽축구선수권대회() 조별리그 E조 3차전에서 스웨덴에 1-0으로 이겼다. 이탈리아와의 1차전 0-2 완패로 불안한 스타트를 끊은...
4	유로 2016	레스터 시티 “제이미 바디 잔류 확정”… 유로 2016 기간 중 선언	바디는 여름 이적시장이 열린 지금 잉글랜드 축구대표팀에서 2016 유럽축구선수권대회() 일정을 소화하고 있다. 당초 아스날 이적설이 불거졌지만  기간 중 거취를 결정한 것으로 보인다....
4	유로 2016	[유로2016]대기록 세운 날 탈락할 수는 없었던 호날두	포르투갈은 23일(한국시간) 프랑스 리옹의 스타드 데 뤼미에르에서 헝가리와 2016 유럽축구선수권대회() 조별리그 F조 3차전을 치렀다. 앞선 두 경기에서 모두 비긴 포르투갈 입장에서는 최소 무승부를...
4	유로 2016	[유로2016]호날두 2골1도움 원맨쇼, 포르투갈 16강 턱걸이	포르투갈은 23일(한국시간) 프랑스 리옹의 스타드 데 뤼미에르에서 열린  조별리그 F조 3차전에서 헝가리와 3-3으로 무승부를 거뒀다. 이날 호날두는 유로 본선 17번째 경기에 나섰다. 앞선 경기에서...
4	유로 2016	‘유로 2016’ 16강 대진표 확정, 새내기들 ‘펄펄’ 날고 강호들 ‘혼쭐’ 났네	ㆍ아이슬란드·웨일스 등 4팀 ‘기염’ ㆍ포르투갈, 호날두 활약에 ‘턱걸이’ 유럽 최고의 축구팀을 가리는 유럽축구선수권대회() 16강 대진이 짜였다. 예상대로 강호들이 조별리그에서 탈락하는 이변은...
5	유로 2016	숫자로 보는 '유로 2016' 트렌드, 수비 뜨고 공격 지고	[인터풋볼] 유지선 기자=  조별리그 36경기가 모두 마무리됐다. '16강에 올라갈 팀들이 올라갔다'는 평가가 주를 이루지만, 16강으로 향하는 과정까지 완벽했던 건 아니다. 이번 유로 대회부터 본선 무대에 총...
5	유로 2016	대회방식 바꾼 유로2016, 안티풋볼의 성행+0승팀의 16강행	AFPBBNews = News1 [스포츠한국 김명석 기자] 수비에 잔뜩 무게를 두는 이른바 ‘안티풋볼’은 2016 유럽축구연맹(UEFA) 유럽축구선수권대회(이하 ) 조별리그의 트렌드였다. 전력상 열세인 팀들이 수비에 무게를...
5	유로 2016	풋볼리스트 선정 유로16 조별리그 베스트XI	[풋볼리스트] 이 16강전을 앞두고 있다. 참가국이 24개로 늘어나면서 조별리그에만 36경기를 치렀다. 유럽 최강을 가리는 대회에서 가장 뛰어난 활약을 펼친 선수들로 구성하면 어떤 팀이 될까? '풋볼리스트' 기자들이...
5	유로 2016	[EURO ISSUE] 유로 2016, 드디어 완성된 16강 대진	(베스트 일레븐) 23일 새벽(이하 한국 시각) 경기를 끝으로 UEFA(유럽축구연맹) 의 16강 대진이 완성됐다. 각 조의 3위 팀 중 상위 네 팀이 16강에 합류할 수 있었기에,  16강의 면면이 온전히...
5	유로 2016	[유로2016] '호날두 2골' 포르투갈, 헝가리와 3-3 무승부.. 조 3위로 16강	포르투갈은 23일 새벽 1시(이하 한국시간) 프랑스 리옹의 스타드 데 뤼미에르에서 열린 '' F조 조별리그 헝가리와의 경기에서 홀로 두 골을 몰아친 '에이스' 호날두의 활약을 앞세워 3-3 무승부를 기록했다. 이날...
5	유로 2016	[스포탈 플러스] 갑자기 툭 튀어나온...유로 깜짝 '베스트 11'	유럽축구연맹(UEFA) 에서도 마찬가지다. 대회전만 해도 큰 기대를 갖지 않았으나 예상보다 빼어난 활약을 펼치며 전 세계 축구팬들에게 자신의 존재감을 각인시키고 있는 이들이 있다. 축구 통계 사이트...
5	유로 2016	[유로2016] 스위스 폴란드 16강 대전…박빙 예상	[헤럴드경제] 스위스와 폴란드의 일전을 시작으로 ‘’ 16강 토너먼트가 시작된다. 두 팀은 오는 25일 밤 10시 (한국시각) 밤 프랑스 생테티엔 스타드 조프루아 귀샤르에서 16강 진출국 중 가장 먼저 경기를...
5	유로 2016	[홍재민의 축구話] 유로를 읽지 말고 느껴주세요	종료 후, 아이슬란드인을 만날 일이 있을지 모르겠지만, 그들과 교감할 최고의 이야깃거리가 생겼다. “저, 그때 스타드 드 프랑스에 있었어요.” 국내에서도  관련 기사가 많다. 기사와 댓글 들은...
5	유로 2016	[유로2016]호날두 "세 차례나 집에 갈 뻔했다"	= 만점 활약으로 포르투갈을 유럽축구선수권대회() 16강에 올려놓은 호날두가 아찔했던 순간들을 돌아봤다. 포르투갈은 23일(한국시간) 프랑스 리옹의 스타드 데 뤼미에르에서 열린  조별리그 F조...
5	유로 2016	2골 1도움 호날두, 유로 2016 주간 베스트 11 선정	리옹 EPA 연합뉴스세계적인 축구 스타 크리스티아누 호날두(31·포르트갈)가 22일 열린  조별리그 F조 마지막 경기에서 2골 1도움으로 포르투갈을 탈락 위기에서 구해내며 주간 베스트 11으로 선정됐다....
6	유로 2016	-유로2016- 크로아티아, 무적함대 스페인 격침…조 1위로 16강	크로아티아 축구대표팀 이반 페리시치가 22일(한국시간) 프랑스 지롱드 주 스타드 드 보르도에서 열린  D조 조별리그 스페인과 경기 1-1로 맞선 후반 42분에 결승골을 넣은 뒤 기뻐하고 있다. (AP=연합뉴스) 스페인...
6	유로 2016	[유로2016] '해피엔딩'은 없었다…끝까지 웃지 못한 즐라탄	스웨덴은 23일(이하 한국시간) 프랑스 니스의 스타드 드 니스에서 열린 벨기와의 2016 유럽축구선수권() E조 최종 3차전에서 0-1로 졌다. 이로써 스웨덴은 1무 2패(승점 1점)로 조 최하위로 이번 대회를 마쳤다....
6	유로 2016	유로 2016 조별리그 베스트 11···파예, 베일, 데브라이너 등 선정	"웨일스 3명, 북아일랜드 2명 배출" "잉글랜드 한명도 없어" 영국 매체 스카이스포츠가  조별리그 베스트 11을 선정했다. /출처=스카이스포츠 영국 매체 스카이스포츠가 축구프로선수 평가사이트인...
6	유로 2016	[해외축구]즐라탄, 유로2016 끝으로 대표팀 은퇴	"리우올림픽 참가 안해" = 스웨덴이 낳은 불세출의 공격수 즐라탄 이브라히모비치(35)가 2016 유럽축구선수권대회()을 끝으로 대표팀에서 은퇴하겠다는 뜻을 분명히 했다. 22일(한국시간) AP통신에 따르면...
6	유로 2016	[영상] 유로 2016 골모음	골모음 (6월22일) 폴란드 1 : 0 우크라이나 독일 1 : 0 북아일랜드 터키 2 : 0 체코 크로아티아 2 : 1 스페인 [저작권자(c) YTN(Yes! Top News) 무단전재 및 재배포 금지]
6	유로 2016	<유로2016> 웨일스·북아일랜드·슬로바키아, 첫 출전에 16강 '쾌거'	북아일랜드는 22일(한국시간) 프랑스 파리의 파르크 데 프랭스에서 치러진 독일과  조별리그 C조 최종전에서 0-1로 아쉽게 패했다. 비록 최종전에서 패했지만 북아일랜드는 조별리그에서 1승2패(승점 3)로 조...
6	유로 2016	[유로2016] '무적함대' 스페인도 쓰러뜨린 크로아티아의 끈끈함	크로아티아 선수들이 22일 프랑스 보르도의 누보 스타드 드 보르도에서 열린 스페인과의 2016 유럽축구선수권() D조 조별예선 최종 3차전에서 역전에 성공한 뒤 기뻐하고 있다.  AFP=News1 크로아티아가...
6	유로 2016	유로 활약 스타들, 이적 시장 관심 집중	[풋볼리스트] 한준 기자=  조별리그 일정이 마무리됐다. 25일부터 16강전이 시작된다. 대회 일정의 절반가량이 지난 가운데 활약을 펼친 스타들의 주가가 이미 높아지고 있다. 유럽 축구 여름 이적 시장에서 벌써...
6	유로 2016	<유로2016> 너무 일찍 만났다…이탈리아·스페인 16강 격돌	[EPA=연합뉴스 자료사진] 2016 유럽축구선수권대회() 조별리그가 막바지로 접어든 가운데 우승 후보인 '무적함대' 스페인과 '빗장수비' 이탈리아가 16강에서 격돌하게 됐다. 스페인은 22일(한국시간) 열린 D조...
6	유로 2016	[유로2016]독일, 북아일랜드 꺾고 조 1위로 16강행	= '전차군단' 독일이 2016 유럽축구선수권대회()에서 조 1위로 토너먼트에 진출, 순항을 이어갔다. 독일은 22일 오전 1시(한국시간) 프랑스 파리의 파르크 데 프랭스에서 열린  조별리그 C조 3차전에서...
7	유로 2016	[유로2016] ‘첫 출전 16강’ 아이슬란드, 국가 축제 분위기	[헤럴드경제] 인구 33만명에 불과한 섬나라 아이슬란드가  본선 첫 무대에서 16강 진출이 확정되자 나라 전체가 축제 분위기에 휩싸였다. 아이슬란드는 지난 23일(한국시각) 프랑스 생드니의 스타드 드...
7	유로 2016	유니폼 굴욕사건…유로 2016서 스위스 유니폼 4벌이나 찢어져	올여름을 뜨겁게 달구고 있는 유럽축구선수권대회()와 남미축구선수권대회(코파 아메리카 센테나리오 2016)에서도 마찬가지다. 지난 20일 열린 프랑스와 스위스의 A조 3차전은 지루한 0대0 무승부로 개최국...
7	유로 2016	[EURO 가다] 스르나 귓속말, 유로 전체를 흔들다	한국의 축구 전문 매체 포포투와 풋볼리스트를 대표하는 두 기자가 유럽 24개국이 만드는 의 생생한 이야기를 전해드립니다. ### 마음을 비운 크로아티아가 절박한 스페인을 무너뜨렸다. 크로아티아와 스페인은...
7	유로 2016	[유로2016] ‘2골1도움' 호날두, ’주간 베스트 11‘ 선정	[헤럴드경제] 탈락 위기에서 포르투갈을 구해내며 극찬을 받았던 크리스티아누 호날두(31·포르트갈)가 ’ 주간 베스트 11‘으로 선정됐다. 레알마드리드 소속 크리스티아누 호날두는 지난 22일 열린 2016...
7	유로 2016	[유로2016] 아일랜드, 이탈리아 꺾고 16강 진출…'브래디 결승골'	아일랜드는 23일(이하 한국시간) 프랑스 릴에 위치한 스타드 피에르-모루아에서 열린 '2016 유럽선수권대회()' E조 3차전 이탈리아와 경기에서 1-0으로 승리를 거뒀다. 이날 승리로 승점 3점을 보태 승점...
7	유로 2016	포르투갈, `유로 2016` 혼돈의 F조 뚫고 16강 오를 수 있을까?	(사진=AFPBBNews) [이데일리 e뉴스 김병준 기자] 지난 11일(한국시간) 개막한 2016 유럽축구선수권대회() 조별 리그가 어느덧 막바지에 이르렀다. 오는 23일 조별리그 F조와 E조의 경기를 끝으로  16강...
7	유로 2016	포르투갈, 호날두 활약에 유로16강 턱걸이…“세 번이나 집에 갈뻔”	은 참가국이 16개국에서 24개국으로 확대되면서 그동안 본선에 나오지 못했던 유럽 축구 약소국들이 합류했다. 전력이 약한 팀들이 노골적으로 수비에 치중하면서 대회 전체 득점이 줄어들었다. 4년 전 대회 때...
7	유로 2016	[유로2016] 크로아티아 'A+', 러시아 'F' 英 매체가 매긴 조별리그 성적표	이미지=영국 매체 데일리메일이 매긴  조별리그 성적표 [스포츠서울] 아이슬란드, 크로아티아는 A+, 오스트리아, 러시아는 F.  조별리그가 마무리된 가운데 영국 매체 데일리메일이 조별리그에...
7	유로 2016	[유로관전회담] ① 박진감 없는 조별리그, 정말 규모 확대 때문?	[풋볼리스트] ''의 조별리그가 끝났다. 경기 숫자로는 벌써 대회의 70%가 진행됐다. 그중엔 꼭두새벽에 환호를 지를 만큼 멋진 순간도 있었고, '새벽에 축구 보지 말고 잠이나 자라'고 권하는 듯한 따분한 경기도...
7	유로 2016	[유로 2016] 포르투갈 나니 “호날두, 비평가들의 입 다물게 할 것”	호날두는 23일(한국 시간) 열린  헝가리와 조별 리그 F조 최종전에서 유로에서 부진하다는 사람들의 비난을 비웃듯 맹활약했다. 호날두는 2골 1도움을 기록하며 팀의 3-3 무승부를 이끌었고 포르투갈은 16강에...
8	유로 2016	[유로2016] 미소 지은 베일-고개 숙인 즐라탄…엇갈린 스타들 표정	가레스 베일(왼쪽)과 즐라탄 이브라히모비치  AFP=News1 2016 유럽축구선수권() 조별예선 36경기가 23일 막을 내리면서 스타들의 표정도 엇갈렸다. 가장 활짝 웃은 선수는 단연 웨일스의 가레스 베일(27·레알...
8	유로 2016	[유로2016] 아이슬란드, 오스트리아에 2-1 승.. 조 2위로 16강	아이슬란드는 23일 오전 1시(이하 한국시간) 프랑스 생드니의 스타드 데 프랑스에서 열린 '' F조 3차전에서 오스트리아를 2-1로 꺾었다. 무승부가 유력했지만, 경기 종료 직전 극적인 골이 터지며 승리를...
8	유로 2016	[유로 카드뉴스] 유로2016 조별리그 기록 총정리	조별리그 결과 [엠스플뉴스] 이 반환점을 돌았다. 뜨거웠던 조별리그 일정을 마치고 8개팀이 집으로 돌아갔다. 골이 부족했다는 아쉬움, 경기 막판 극장 승부가 양산되며 안겨준 짜릿함. 화려한...
8	유로 2016	[유로2016]크로아티아, 스페인 꺾고 조 1위로 16강	크로아티아는 22일(한국시각) 프랑스 지롱드 주 스타드 드 보르도에서 열린 스페인과의  D조 조별리그 최종전에서 후반 42분 터진 이반 페리시치의 역전 결승골에 앞세워 2대1로 이겼다. 승점 7점(2승1무)이 된...
8	유로 2016	[일단 보세요!] 유로 16강 오른 순간, 아이슬란드 방송 해설자의 절규	긴 이름을 줄여 ‘검미 벤’으로 통하는 그는 대표팀 후배들이 지난 23일 프랑스 파리 외곽 생드니에서 열린  조별리그 F조 오스트리아와의 3차전 추가시간 극적인 골을 뽑아내 2-1로 승리를 결정지은 순간...
8	유로 2016	[유로2016][종합]'모드리치 빠진' 크로아티아, 스페인에 2-1 역전승	크로아티아는 22일 오전 4시(한국시간) 프랑스 보르도에서 열린  조별리그 D조 3차전에서 이반 페리시치(인터밀란)의 결승골을 앞세워 2-1 역전승을 거뒀다. 2승1무(승점 7)가 된 크로아티아는 스페인(2승1패 승점6)...
8	유로 2016	[카드뉴스] '더 뜨거워졌다' 유로2016 16강 대진 가이드	16강 대진이 결정됐습니다. 강팀만 살아남은 진짜 의 시작. '지면 끝'인 16강 대진을 소개합니다. 어떤 경기를 하는 날에 잠을 주무시면 안 되는지, [엠빅뉴스]와 함께...
8	유로 2016	베일·파예, 유로 2016 조별리그 베스트 11 선정	가레스 베일(웨일스·레알 마드리드), 디미트리 파예(프랑스·웨스트햄)가  조별리그의 베스트 11에 선정됐다. 유럽축구 통계전문사이트인 '후스코어드닷컴'은 23일(이하 한국시간) ' 조별리그 베스트 11...
8	유로 2016	‘유로2016’ 아일랜드, 이탈리아 꺾고 16강 진출…다음 상대는?	아일랜드가 이탈리아를 꺾고 ‘’ 16강에 진출했다. 아일랜드는 23일(이하 한국시간) 프랑스 릴에 위치한 스타드 피에르-모루아에서 열린 ‘’ E조 3차전 이탈리아와 경기에서 1-0으로 승리를...
8	유로 2016	‘3골 득점선두’ 베일, “최종목표 유로 우승”	가레스 베일(27, 레알 마드리드)이 웨일스의  우승을 자신했다. 베일이 이끄는 웨일스는 26일 새벽 1시(한국시간)  16강전에서 북아일랜드와 결전을 앞두고 있다. 베일은 3골을 터트리며 대회 득점...
9	유로 2016	[유로2016] '호날두 2골' 포르투갈, 극적인 16강행	[뉴스투데이] ◀ 앵커 ▶ 에서는 호날두 선수가 2골을 넣은 포르투갈이 헝가리와 무승부를 거두며 조 3위로 16강에 진출했습니다. 서혜연 기자입니다. ◀ 리포트 ▶ 승리가 절실했던 포르투갈은 호날두와...
9	유로 2016	[유로 2016] "우리가 이겼다"	크로아티아는 22일 오전 4시(한국시간) 프랑스 보르도에서 열린  조별리그 D조 3차전에서 이반 페리시치(인터밀란)의 결승골을 앞세워 스페인에 2-1 역전승을 거뒀다. 이훈 기자 hoon@kukinews.com
9	유로 2016	-유로2016- '골대 불운' 프랑스, 스위스와 0-0…나란히 16강행	에서첫 승리를 따낸 알바니아 선수들이 기뻐하고 있다. (AP=연합뉴스) 프랑스는 후반 18분 조별리그 1, 2차전에서 연속골을 맛본 드미트리 파예를 승부수로 투입하며 반전을 노렸다. 파예는 후반 30분 무사...
9	유로 2016	벨기에, E조 2위 유로2016 16강행…스웨덴에 1-0 승리	벨기에는 23일 오전(한국시각) 프랑스 니스에서 열린  E조 3차전에서 스웨덴에 1-0으로 이겼다. E조 2위로 16강에 진출한 벨기에는 헝가리와 16강전을 치르게 됐다. 반면 스웨덴은 조별리그서 탈락하며 승리 없이...
9	유로 2016	[유로2016] 스웨덴, 벨기에에 0-1 패배…조별리그 탈락 굴욕	스웨덴은 23일(이하 한국시간) 프랑스 니스에서 열린 '2016 유럽선수권대회()' E조 3차전 벨기에와 경기에서 0-1로 패했다. 승점을 추가하지 못한 스웨덴은 조별리그 탈락이라는 굴욕을 겪었다....
